Title,Type,ID,URL,Owners,Sharing Status
Great Salt Lake Area Volume Data,CompositeResource,89125e9a3af544eab2479b7a974100ba,http://www.hydroshare.org/resource/89125e9a3af544eab2479b7a974100ba/,David Tarboton,Public&Shareable
Great Salt Lake Level and Volume,CompositeResource,b26090299ec947c692d4ee4651815579,http://www.hydroshare.org/resource/b26090299ec947c692d4ee4651815579/,David Tarboton,Public&Shareable
Great Salt Lake Basin Digital Elevation Model,CompositeResource,e660640a7b084794aa2d70dc77cfa67b,http://www.hydroshare.org/resource/e660640a7b084794aa2d70dc77cfa67b/,David Tarboton,Public&Shareable
Great Salt Lake Bathymetry,CompositeResource,582060f00f6b443bb26e896426d9f62a,http://www.hydroshare.org/resource/582060f00f6b443bb26e896426d9f62a/,David Tarboton,Public&Shareable
